"Trait","Method","Mean_DIC","SD_DIC","Delta_DIC","Wprob","ER","N","r","p_value","RMSE","MAE","Bias","Slope","Mean_fold_r","SD_fold_r","Mean_fold_RMSE","SD_fold_RMSE","Mean_fold_MAE","SD_fold_MAE","Selected_method","Is_selected"
"PRODEF","BayesA",714.21462176789,11.3355239689303,0.763069473835117,0.146581819594269,1.46453053460424,150,0.0383431800324976,0.641323564069664,4.87997958711719,3.92096146774145,0.0869267102413912,0.101176076840712,0.115115296346475,0.149053289765125,4.82137090350062,0.843047582849029,3.92096146774145,0.599623376342722,"GBLUP",FALSE
"PRODEF","BayesB",714.516919445214,11.5565784540076,1.06536715115919,0.126019282306123,1.70349764484595,150,0.0439935255176976,0.592954157082835,4.85960638129156,3.91259533516971,0.0895832828102173,0.118458876905487,0.122134001022746,0.144355923764951,4.79837230480424,0.859794601618049,3.91259533516971,0.611460531661378,"GBLUP",FALSE
"PRODEF","BayesB2",714.183175043892,11.3481400504794,0.731622749837356,0.148904793226141,1.44168327937996,150,0.0376398725073889,0.647456791321253,4.88064007566403,3.92143177249541,0.0862270477043522,0.0994069780762647,0.114124013047431,0.14942809228768,4.82194424199213,0.84372779622388,3.92143177249541,0.599909377422266,"GBLUP",FALSE
"PRODEF","BayesC",714.446233956134,10.5199883429463,0.994681662079756,0.130552791033885,1.64434286631175,150,0.0464484627901149,0.572467627413701,4.8705128348599,3.91926805109195,0.108756488222113,0.121782624967266,0.12234150850094,0.143964001733248,4.81461140197592,0.822657524807928,3.91926805109195,0.583847599512664,"GBLUP",FALSE
"PRODEF","BL",715.073887256139,9.16349668388713,1.62233496208432,0.0953878320769171,2.25053390919456,150,0.0460408492472344,0.575846041877161,4.92658754867924,3.9674716816481,0.15364389353335,0.110511291117495,0.117052039512739,0.147057391770981,4.8815009699662,0.743482645241561,3.9674716816481,0.52138808147459,"GBLUP",FALSE
"PRODEF","GBLUP",713.451552294055,11.1210813140411,0,0.214673550613658,1,150,0.0486773623692226,0.554160631204572,4.83207982810692,3.88528360249427,0.0621151430606893,0.136190510697801,0.124307155547292,0.137161729600966,4.76684908143283,0.884692955239876,3.88528360249427,0.648227789176278,"GBLUP",TRUE
"CF","RRBLUP",557.473250956439,9.38119686386335,1.23061812900096,0.118664277862624,1.85022835110083,150,0.386118789256704,1.06078014415759e-06,2.48351620632407,1.98472062595866,0.0074288393619697,0.717413901300164,0.404818192084371,0.114804343522287,2.46697587624776,0.319927282921256,1.98472062595866,0.294526929464128,"BayesB",FALSE
"CF","BayesA",557.774319777351,8.84216008357985,1.53168694991291,0.10208072288797,2.15080776225781,150,0.391050070458907,7.50682357983611e-07,2.47262003401486,1.97370825622995,0.0162352452244584,0.737957979520996,0.409554974671687,0.116567535403828,2.45604060763863,0.319598119209337,1.97370825622995,0.286039608158148,"BayesB",FALSE
"CF","BayesB",556.875044791182,8.02388548591628,0.632411963743493,0.160036416784501,1.37191281569357,150,0.401399624884797,3.56666043005959e-07,2.45859381432064,1.96017538734816,0.033730333019238,0.751818710108133,0.421803585570147,0.119699732104,2.44210447433917,0.317823221752922,1.96017538734816,0.281468212188145,"BayesB",TRUE
"CF","BayesB2",557.739491353385,8.83515185635207,1.49685852594666,0.103873946708861,2.1136773764812,150,0.391077813346574,7.49211535243385e-07,2.47254935034951,1.97355348242144,0.0174122812422669,0.738139528037835,0.409509290288405,0.116496322893948,2.4559482940474,0.319801240772029,1.97355348242144,0.286256992971114,"BayesB",FALSE
