"Trait","Rank","IND","FAM","Method","Selection_objective","Ranking_rule","Genomic_value","Selection_score","OOF_predictive_direction","OOF_nominal_signal","OOF_r","OOF_nominal_p_value","Selection_proportion","N_available","N_selected"
"PRODCOM",14,"81","9","GBLUP","increase","maximize_genomic_value",4.04620294246734,4.04620294246734,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",15,"103","2","GBLUP","increase","maximize_genomic_value",3.98665418825206,3.98665418825206,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",16,"122","4","GBLUP","increase","maximize_genomic_value",3.98175302841026,3.98175302841026,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",17,"100","10","GBLUP","increase","maximize_genomic_value",3.32266927520888,3.32266927520888,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",18,"124","4","GBLUP","increase","maximize_genomic_value",3.29197518739798,3.29197518739798,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",19,"136","6","GBLUP","increase","maximize_genomic_value",2.95389977693516,2.95389977693516,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",20,"22","5","GBLUP","increase","maximize_genomic_value",2.83749506753715,2.83749506753715,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",21,"2","1","GBLUP","increase","maximize_genomic_value",2.78743989120721,2.78743989120721,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",22,"151","7","GBLUP","increase","maximize_genomic_value",2.73886077361465,2.73886077361465,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",23,"125","4","GBLUP","increase","maximize_genomic_value",2.66592596280887,2.66592596280887,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",24,"126","4","GBLUP","increase","maximize_genomic_value",2.5888717210978,2.5888717210978,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",25,"89","10","GBLUP","increase","maximize_genomic_value",2.4831543037434,2.4831543037434,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",26,"147","6","GBLUP","increase","maximize_genomic_value",2.35912195114867,2.35912195114867,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",27,"121","4","GBLUP","increase","maximize_genomic_value",2.22331068888038,2.22331068888038,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",28,"62","8","GBLUP","increase","maximize_genomic_value",2.22067987284723,2.22067987284723,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",29,"3","1","GBLUP","increase","maximize_genomic_value",2.21564797110241,2.21564797110241,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",30,"123","4","GBLUP","increase","maximize_genomic_value",2.20753409346824,2.20753409346824,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODEF",1,"139","6","RRBLUP","decrease","minimize_genomic_value",-4.66461750533296,4.66461750533296,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",2,"131","4","RRBLUP","decrease","minimize_genomic_value",-3.05955557172612,3.05955557172612,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",3,"43","3","RRBLUP","decrease","minimize_genomic_value",-2.7512501766556,2.7512501766556,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",4,"133","6","RRBLUP","decrease","minimize_genomic_value",-2.63378110722762,2.63378110722762,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",5,"157","7","RRBLUP","decrease","minimize_genomic_value",-2.40089876435784,2.40089876435784,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",6,"45","3","RRBLUP","decrease","minimize_genomic_value",-2.35526447134248,2.35526447134248,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",7,"39","3","RRBLUP","decrease","minimize_genomic_value",-2.17407543745577,2.17407543745577,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",8,"38","3","RRBLUP","decrease","minimize_genomic_value",-2.13892910299435,2.13892910299435,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",9,"37","3","RRBLUP","decrease","minimize_genomic_value",-2.05304001610042,2.05304001610042,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",10,"114","2","RRBLUP","decrease","minimize_genomic_value",-2.0470542213086,2.0470542213086,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",11,"42","3","RRBLUP","decrease","minimize_genomic_value",-2.01492240560254,2.01492240560254,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
